Movie_Name,Certificate,Duration,Year,Rating,Genre,Vote,Gross,Country,Language,Budget
Night of the Living Dead,Not Rated,96,1968,7.9,Horror,104544,89029,USA,English,114000
How to Train Your Dragon,PG,98,2010,8.1,"Animation, Action, Adventure",606848,217581231,USA,English,165000000
Mission: Impossible - Fallout,PG-13,147,2018,7.8,"Action, Adventure, Thriller",227764,220159104,USA,English,178000000
The Prestige,PG-13,130,2006,8.5,"Drama, Mystery, Sci-Fi",1057649,53089891,USA,English,40000000
Shrek,PG,90,2001,7.9,"Animation, Adventure, Comedy",559030,267665011,USA,English,60000000
The Revenant,R,156,2015,8,"Action, Adventure, Biography",615134,183637894,USA,English,135000000
Minority Report,PG-13,145,2002,7.6,"Action, Crime, Mystery",467548,132072926,USA,English,102000000
Castle in the Sky,PG,125,1986,8.1,"Animation, Adventure, Drama",126912,523664,Japan,Japanese,0
The Big Sick,R,120,2017,7.6,"Comedy, Drama, Romance",103062,42872467,USA,English,5000000
Cinderella,G,74,1950,7.3,"Animation, Family, Fantasy",130448,85000000,USA,English,2900000
The Mirror,G,107,1975,8.1,"Biography, Drama",31830,22168,Soviet Union,Russian,9558
Shaun of the Dead,R,99,2004,7.9,"Comedy, Horror",467255,13542874,UK,English,5263040
My Fair Lady,G,170,1964,7.9,"Drama, Family, Musical",79391,72000000,USA,English,17000000
Coco,PG,105,2017,8.4,"Animation, Adventure, Comedy",270135,209726015,USA,English,175000000
Waltz with Bashir,R,90,2008,8,"Animation, Biography, Drama",52159,2283276,Israel,Hebrew,1500000
Brief Encounter,Not Rated,86,1945,8.1,"Drama, Romance",31739,0,UK,English,223679
Ghost in the Shell,Not Rated,83,1995,8,"Animation, Action, Crime",114607,515905,Japan,Japanese,5420640
Hidden Figures,PG,127,2016,7.8,"Biography, Drama, History",169523,169607287,USA,English,25000000
The Imitation Game,PG-13,114,2014,8,"Biography, Drama, Thriller",615990,91125683,USA,English,14000000
Chungking Express,PG-13,102,1994,8.1,"Comedy, Crime, Drama",52600,600200,Hong Kong,Cantonese,4900000
Shutter Island,R,138,2010,8.1,"Mystery, Thriller",998274,128012934,USA,English,80000000
Predator,R,107,1987,7.8,"Action, Adventure, Sci-Fi",343740,59735548,USA,English,15000000
Mommy,R,139,2014,8.1,Drama,42675,3492754,Canada,French,4500000
The Innocents,Not Rated,100,1961,7.9,Horror,23461,2616000,UK,English,565777
"Crna macka, beli macor",R,127,1998,8.1,"Comedy, Crime, Romance",46886,348660,Federal Republic of Yugoslavia,Romany,4500000
Sleuth,PG,138,1972,8,"Mystery, Thriller",41746,0,UK,English,3500000
The Hidden Fortress,Not Rated,126,1958,8.1,"Adventure, Drama",29578,46808,Japan,Japanese,0
Lincoln,PG-13,150,2012,7.4,"Biography, Drama, History",227849,182207973,USA,English,65000000
My Sassy Girl,Not Rated,123,2001,8.1,"Comedy, Drama, Romance",42158,0,South Korea,Korean,0
Black Swan,R,108,2010,8,"Drama, Thriller",645666,106954678,USA,English,13000000
Hereditary,R,127,2018,7.3,"Drama, Horror, Mystery",146049,44069456,USA,English,10000000
Dead Poets Society,PG,128,1989,8.1,"Comedy, Drama",366297,95860116,USA,English,16400000
Breakfast at Tiffany's,Not Rated,115,1961,7.7,"Comedy, Drama, Romance",150731,0,USA,English,2500000
